months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,blank_cells,has_umbrella,umbrella_limit_missing,policy_annual_premium_missing,policy_deductible_missing,claim_sum_parts,claim_recon_error,claim_recon_flag,log1p_total_claim_amount,log1p_injury_claim,log1p_property_claim,log1p_vehicle_claim,coverage_proxy,premium_per_coverage,deductible_ratio,agi_simple
190.0,40.0,390381,2007/01/27,OH,500/1000,2000,965.21,0,610354,FEMALE,JD,exec-managerial,camping,other-relative,36900.0,53700,2015/02/02,Parked Car,?,Trivial Damage,,SC,Hillsdale,8404 Embaracadero St,10,1,?,2,1,YES,6300.0,630.0,630.0,5040,Nissan,Ultima,2001,N,0,0,0,0,0,6300.0,0.0,0,8.748463629942055,6.447305862541213,6.447305862541213,8.525359754082631,1000000.0,0.00096521,0.002,0.0009654030419999999
174.0,36.0,629918,2005/10/14,IL,100/300,2000,1278.75,0,461328,FEMALE,College,tech-support,paintball,own-child,53200.0,53800,2015/02/06,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,2117 Lincoln Hwy,21,3,?,2,2,NO,65400.0,10900.0,10900.0,43600,Dodge,RAM,2012,N,0,0,0,0,0,65400.0,0.0,0,11.088292827848267,9.29660980712836,9.29660980712836,10.682835364853922,300000.0,0.0042625,0.006666666666666667,0.004265341666666666
95.0,28.0,208298,1990/11/03,OH,250/500,1000,773.99,0,458727,MALE,Associate,armed-forces,board-games,other-relative,0.0,70300,2015/01/01,Vehicle Theft,?,Trivial Damage,,PA,Springfield,6359 MLK Ridge,3,1,YES,1,2,NO,3200.0,640.0,320.0,2240,Mercedes,E400,2014,N,0,0,0,0,0,3200.0,0.0,0,8.071218539969863,6.46302945692067,5.771441123130016,7.714677473800927,500000.0,0.00154798,0.002,0.001548289596
371.0,51.0,513099,2005/10/15,IN,500/1000,1000,1532.47,0,452587,FEMALE,Associate,tech-support,golf,other-relative,60300.0,24700,2015/01/19,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NY,Arlington,9751 Sky Ridge,7,1,YES,0,3,YES,75400.0,7540.0,15080.0,52780,Dodge,RAM,2012,Y,0,0,0,0,0,75400.0,0.0,0,11.230575816507567,8.928110078202646,9.621190952360683,10.8739065564485,1000000.0,0.00153247,0.001,0.001532623247
2.0,28.0,184938,1999/05/22,IL,250/500,1000,1340.56,0,433184,FEMALE,JD,machine-op-inspct,golf,not-in-family,0.0,0,2015/01/17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Northbend,9020 Elm Ave,19,1,YES,0,2,YES,58140.0,6460.0,6460.0,45220,Saab,92x,2008,N,0,0,0,0,0,58140.0,0.0,0,10.970626373827352,8.773539383558166,8.773539383558166,10.71931685969625,500000.0,0.00268112,0.002,0.0026816562239999997
269.0,44.0,187775,2002/12/21,OH,100/300,500,1297.75,4000000,451280,FEMALE,JD,other-service,chess,own-child,0.0,41400,2015/02/01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Columbus,1830 Sky St,15,3,?,0,1,?,98670.0,15180.0,15180.0,68310,Chevrolet,Tahoe,2010,Y,0,1,0,0,0,98670.0,0.0,0,11.4995463625926,9.627799924932717,9.627799924932717,11.131826086763818,300000.0,0.0043258333333333334,0.0016666666666666668,0.0043265543055555555
101.0,27.0,326322,2007/02/10,IL,250/500,1000,433.33,0,603269,MALE,Masters,machine-op-inspct,golf,other-relative,25900.0,0,2015/01/02,Parked Car,?,Minor Damage,,SC,Hillsdale,6067 Weaver Ridge,7,1,?,0,3,NO,5900.0,1180.0,590.0,4130,Mercedes,E400,2009,N,0,0,0,0,0,5900.0,0.0,0,8.682877107057168,7.074116816197362,6.3818160174060985,8.326274787396764,500000.0,0.00086666,0.002,0.000866833332
94.0,30.0,146138,2002/03/01,IN,250/500,2000,1025.54,0,442632,FEMALE,High School,armed-forces,paintball,other-relative,0.0,52600,2015/02/20,Single Vehicle Collision,Rear Collision,Major Damage,Fire,NC,Arlington,1840 Embaracadero Ave,19,1,?,1,3,YES,64100.0,6410.0,6410.0,51280,Chevrolet,Malibu,2001,N,0,0,0,0,0,64100.0,0.0,0,11.068215243411098,8.765770543987257,8.765770543987257,10.845075592184443,500000.0,0.00205108,0.004,0.0020519004319999997
117.0,28.0,336047,2003/04/21,OH,250/500,500,1264.77,0,447300,FEMALE,Associate,transport-moving,yachting,unmarried,47500.0,32500,2015/02/05,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Springfield,4058 Tree Drive,13,2,YES,0,1,?,55440.0,5040.0,10080.0,40320,Suburu,Forrestor,2009,Y,0,0,0,0,0,55440.0,0.0,0,10.923074671219148,8.525359754082631,9.21840774305394,10.604627704024995,500000.0,0.00252954,0.001,0.002529792954
111.0,27.0,532330,2002/09/22,OH,250/500,500,1459.97,5000000,441783,MALE,MD,sales,yachting,other-relative,0.0,0,2015/02/27,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Northbend,4983 MLK Ridge,2,3,NO,1,2,NO,80850.0,7350.0,14700.0,58800,Ford,F150,2011,Y,0,1,0,0,0,80850.0,0.0,0,11.30036323351256,8.902591637374087,9.595670797663969,10.981914140544824,500000.0,0.00291994,0.001,0.002920231994
242.0,40.0,118137,1998/02/10,OH,100/300,500,1238.65,0,468702,FEMALE,High School,transport-moving,bungie-jumping,husband,0.0,44600,2015/01/27,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,9744 Texas Drive,5,1,YES,1,1,NO,7480.0,680.0,680.0,6120,Saab,95,1998,N,0,0,0,0,0,7480.0,0.0,0,8.920121751872404,6.523562306149512,6.523562306149512,8.71948076085107,300000.0,0.004128833333333333,0.0016666666666666668,0.004129521472222222
440.0,61.0,212674,1992/09/01,OH,250/500,500,1050.76,0,467942,MALE,PhD,transport-moving,movies,wife,41500.0,70200,2015/01/26,Single Vehicle Collision,Side Collision,Major Damage,Fire,OH,Riverwood,8821 Elm St,21,1,?,2,3,NO,53640.0,5960.0,5960.0,41720,Nissan,Maxima,2004,Y,0,0,0,0,0,53640.0,0.0,0,10.890068980025717,8.692993531219926,8.692993531219926,10.63875987814672,500000.0,0.00210152,0.001,0.002101730152
20.0,23.0,935596,1999/05/01,OH,500/1000,1000,1711.72,0,463678,FEMALE,JD,tech-support,base-jumping,wife,0.0,0,2015/01/13,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,2886 Tree Ridge,21,3,NO,2,2,NO,63250.0,5750.0,11500.0,46000,Chevrolet,Tahoe,2002,Y,0,0,0,0,0,63250.0,0.0,0,11.054866216741466,8.657129031713755,9.35018926709258,10.736418414365376,1000000.0,0.0017117200000000001,0.001,0.001711891172
461.0,57.0,737593,1997/12/19,IL,100/300,500,865.33,7000000,615220,FEMALE,High School,farming-fishing,golf,own-child,0.0,0,2015/01/14,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,5236 Weaver Drive,7,3,NO,0,1,?,59040.0,9840.0,9840.0,39360,Dodge,RAM,1995,N,0,1,0,0,0,59040.0,0.0,0,10.98598739680029,9.194312610898985,9.194312610898985,10.580530757347516,300000.0,0.0028844333333333336,0.0016666666666666668,0.0028849140722222223
208.0,36.0,812025,2000/06/18,IL,250/500,500,1153.49,0,432711,MALE,Associate,craft-repair,base-jumping,other-relative,0.0,0,2015/02/22,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,5862 Apache Ridge,16,3,YES,1,0,YES,50500.0,10100.0,5050.0,35350,Accura,TL,2004,N,0,0,0,0,0,50500.0,0.0,0,10.829748417047592,9.220389707829185,8.527341522468053,10.473081959467743,500000.0,0.00230698,0.001,0.0023072106980000003
279.0,43.0,168151,1995/04/24,OH,500/1000,2000,1281.25,0,463583,MALE,Associate,machine-op-inspct,cross-fit,other-relative,0.0,0,2015/01/17,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,7859 4th Ridge,13,1,YES,0,1,NO,57690.0,6410.0,12820.0,38460,Mercedes,C300,2010,Y,0,0,0,0,0,57690.0,0.0,0,10.962856461127396,8.765770543987257,9.4588397305527,10.557400019844792,1000000.0,0.00128125,0.002,0.00128150625
244.0,40.0,594739,2006/06/16,IL,100/300,500,1342.8,0,439502,FEMALE,MD,sales,base-jumping,husband,0.0,0,2015/02/02,Vehicle Theft,?,Trivial Damage,Police,NY,Springfield,6259 Weaver St,2,1,YES,1,3,YES,5940.0,660.0,660.0,4620,Toyota,Camry,2014,N,0,0,0,0,0,5940.0,0.0,0,8.689632748355741,6.493753839851686,6.493753839851686,8.438366410870266,300000.0,0.004476,0.0016666666666666668,0.004476746
134.0,30.0,843227,2007/09/28,OH,250/500,2000,1443.32,0,613287,FEMALE,PhD,exec-managerial,dancing,unmarried,0.0,0,2015/01/07,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbend,9980 Lincoln Ave,19,3,?,0,2,YES,47790.0,5310.0,5310.0,37170,Suburu,Impreza,1995,Y,0,0,0,0,0,47790.0,0.0,0,10.774592616232963,8.577535420422398,8.577535420422398,10.52328416634614,500000.0,0.0028866399999999998,0.004,0.0028877946559999995
122.0,29.0,283925,1991/11/21,OH,250/500,1000,1629.94,0,620104,FEMALE,Masters,priv-house-serv,skydiving,other-relative,0.0,47100,2015/02/02,Parked Car,?,Trivial Damage,,SC,Riverwood,7828 Cherokee Ave,17,1,?,0,1,NO,3850.0,350.0,350.0,3150,Dodge,Neon,2014,N,0,0,0,0,0,3850.0,0.0,0,8.25608813381491,5.860786223465865,5.860786223465865,8.055475141757274,500000.0,0.00325988,0.002,0.003260531976
156.0,31.0,475588,1996/09/21,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0.0,0,2015/02/07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,?,2,0,?,59000.0,5900.0,5900.0,47200,Ford,Fusion,2013,Y,0,0,0,0,0,59000.0,0.0,0,10.985309671896765,8.682877107057168,8.682877107057168,10.762170357789897,300000.0,0.0037802666666666663,0.006666666666666667,0.003782786844444444
232.0,43.0,751905,2001/05/16,OH,250/500,500,1483.91,8000000,431531,MALE,College,machine-op-inspct,golf,husband,0.0,33600,2015/01/18,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NY,Arlington,2318 Washington Hwy,17,3,NO,0,1,?,70600.0,7060.0,14120.0,49420,Volkswagen,Passat,2013,Y,0,1,0,0,0,70600.0,0.0,0,11.16479958768697,8.862341963516347,9.555418330069251,10.808130714060669,500000.0,0.0029678200000000004,0.001,0.002968116782
244.0,40.0,226725,1999/08/11,IN,500/1000,2000,1304.67,7000000,605408,MALE,Masters,armed-forces,base-jumping,other-relative,0.0,45000,2015/01/10,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,8809 Flute St,5,3,?,1,1,?,61490.0,5590.0,11180.0,44720,Dodge,RAM,2001,N,0,1,0,0,0,61490.0,0.0,0,11.026646101622235,8.628913441026645,9.321971188147367,10.70819846893854,1000000.0,0.0013046700000000002,0.002,0.001304930934
84.0,30.0,942504,2003/06/16,IL,500/1000,2000,1035.79,0,457551,FEMALE,MD,protective-serv,kayaking,wife,44400.0,51500,2015/01/30,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,3184 Oak Ave,9,1,NO,1,0,YES,57640.0,5240.0,10480.0,41920,Volkswagen,Passat,2010,N,0,0,0,0,0,57640.0,0.0,0,10.961989399026116,8.564267598802166,9.257319373170178,10.64354217367223,1000000.0,0.00103579,0.002,0.001035997158
394.0,57.0,395572,1999/03/30,IL,250/500,500,1401.2,0,619892,FEMALE,High School,craft-repair,movies,own-child,51500.0,0,2015/01/25,Vehicle Theft,?,Trivial Damage,Police,NC,Hillsdale,6493 Lincoln Lane,9,1,NO,1,0,NO,6890.0,1060.0,1060.0,4770,Audi,A5,1999,N,0,0,0,0,0,6890.0,0.0,0,8.837971491357209,6.966967138613983,6.966967138613983,8.470311205516108,500000.0,0.0028024,0.001,0.00280268024
246.0,45.0,889883,1999/02/03,IL,250/500,1000,1665.45,0,445853,MALE,JD,machine-op-inspct,hiking,wife,34400.0,33100,2015/01/29,Multi-vehicle Collision,Side Collision,Major Damage,Fire,PA,Columbus,7162 Maple Ave,9,3,?,2,2,?,53280.0,11840.0,5920.0,35520,Toyota,Camry,2006,Y,0,0,0,0,0,53280.0,0.0,0,10.883335073806908,9.379323364330956,8.686260632531775,10.477879349862969,500000.0,0.0033309,0.002,0.00333156618
35.0,29.0,818167,2011/08/25,IN,500/1000,2000,653.66,0,475483,FEMALE,JD,handlers-cleaners,video-games,unmarried,52100.0,46900,2015/02/24,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Springfield,5455 Tree Ridge,22,3,NO,0,0,?,78300.0,15660.0,7830.0,54810,BMW,X5,2009,N,0,0,0,0,0,78300.0,0.0,0,11.268315653289422,9.658928824466434,8.965845494750937,10.911646182719558,1000000.0,0.0006536599999999999,0.002,0.0006537907319999999
156.0,37.0,277767,2010/06/28,OH,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,reading,other-relative,0.0,61000,2015/01/04,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,41490.0,4610.0,4610.0,32270,Nissan,Pathfinder,2001,N,0,0,0,0,0,41490.0,0.0,0,10.63323181522976,8.436200032206706,8.436200032206706,10.381924273100116,300000.0,0.0036004333333333337,0.0016666666666666668,0.0036010334055555557
195.0,36.0,842618,2001/11/06,IN,100/300,2000,1346.18,0,611852,FEMALE,Associate,machine-op-inspct,camping,wife,57800.0,53300,2015/02/25,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Hillsdale,3797 Solo Lane,14,3,YES,2,3,YES,68970.0,12540.0,6270.0,50160,Chevrolet,Tahoe,2007,N,0,0,0,0,0,68970.0,0.0,0,11.141441405377789,9.43675855582405,8.74369111054302,10.822993111312226,300000.0,0.0044872666666666665,0.006666666666666667,0.004490258177777777
369.0,55.0,577810,2013/04/15,OH,250/500,2000,1589.54,0,444734,MALE,College,handlers-cleaners,camping,husband,55400.0,0,2015/01/27,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,VA,Arlington,9373 Pine Hwy,6,3,?,2,0,YES,85300.0,17060.0,8530.0,59710,Toyota,Highlander,2003,N,0,0,0,0,0,85300.0,0.0,0,11.35394145674048,9.74455043597491,9.051461866908694,10.997271537014264,500000.0,0.00317908,0.004,0.0031803516319999997
271.0,40.0,873114,1995/12/07,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200.0,0,2015/02/19,Parked Car,?,Minor Damage,,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080.0,560.0,280.0,2240,Audi,A3,2012,N,0,0,0,0,0,3080.0,0.0,0,8.033009498596668,6.329720905522696,5.638354669333745,7.714677473800927,300000.0,0.004172166666666667,0.0033333333333333335,0.004173557388888889
332.0,47.0,994538,1991/11/01,IL,100/300,2000,1083.01,0,448882,MALE,MD,craft-repair,paintball,other-relative,91900.0,0,2015/01/31,Multi-vehicle Collision,Front Collision,Major Damage,Police,WV,Arlington,9239 Washington Ridge,22,4,YES,2,0,?,71760.0,11040.0,11040.0,49680,Jeep,Grand Cherokee,2010,Y,0,0,0,0,0,71760.0,0.0,0,11.181096431975604,9.309370895439136,9.309370895439136,10.813377845229256,300000.0,0.0036100333333333335,0.006666666666666667,0.003612440022222222
107.0,26.0,727792,2014/05/19,OH,100/300,500,974.59,0,466838,FEMALE,JD,armed-forces,skydiving,wife,62800.0,0,2015/01/18,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,NY,Arlington,3416 Washington Drive,14,3,?,1,0,NO,59700.0,11940.0,11940.0,35820,Nissan,Ultima,2002,N,0,0,0,0,0,59700.0,0.0,0,10.997104049659168,9.387733135533384,9.387733135533384,10.48628959258962,300000.0,0.0032486333333333335,0.0016666666666666668,0.0032491747722222224
217.0,39.0,522506,1992/03/15,IL,500/1000,2000,1399.85,0,605490,FEMALE,Masters,other-service,skydiving,other-relative,49900.0,19800,2015/01/10,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,1923 2nd Hwy,16,3,NO,0,2,?,64920.0,10820.0,10820.0,43280,Ford,Fusion,1997,N,0,0,0,0,0,64920.0,0.0,0,11.080926425083522,9.289243969571649,9.289243969571649,10.675469018613882,1000000.0,0.00139985,0.002,0.00140012997
243.0,43.0,367595,2006/02/03,IN,500/1000,500,1307.74,0,466137,FEMALE,Associate,machine-op-inspct,board-games,own-child,0.0,75700,2015/01/28,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Riverwood,6451 1st Hwy,10,3,?,0,1,NO,37530.0,4170.0,4170.0,29190,Jeep,Wrangler,2008,N,0,0,0,0,0,37530.0,0.0,0,10.532922537124472,8.335911094196945,8.335911094196945,10.281615721568995,1000000.0,0.00130774,0.0005,0.0013078053870000002
296.0,42.0,586104,2003/03/16,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100.0,63400,2015/02/16,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080.0,7120.0,7120.0,49840,Saab,93,2012,N,0,0,0,0,0,64080.0,0.0,0,11.06790318711361,8.870803443982124,8.870803443982124,10.816593217465508,500000.0,0.00243854,0.004,0.002439515416
264.0,41.0,424862,2002/10/16,OH,100/300,500,1411.3,0,474801,MALE,PhD,prof-specialty,cross-fit,unmarried,55600.0,0,2015/02/08,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4158 Washington Lane,4,1,NO,1,0,?,60390.0,10980.0,5490.0,43920,BMW,M5,2004,Y,0,0,0,0,0,60390.0,0.0,0,11.0085953661978,9.303921785597714,8.610865667278873,10.69014784459452,300000.0,0.004704333333333333,0.0016666666666666668,0.004705117388888888
108.0,33.0,512813,1990/01/27,IL,100/300,2000,694.45,0,450703,FEMALE,JD,armed-forces,exercise,not-in-family,0.0,0,2015/01/20,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,3796 Cherokee Drive,6,3,?,0,1,YES,64350.0,5850.0,11700.0,46800,Nissan,Pathfinder,2011,Y,0,0,0,0,0,64350.0,0.0,0,11.072107752919068,8.674367865788236,9.367429587218956,10.753659849198824,300000.0,0.0023148333333333337,0.006666666666666667,0.0023163765555555558
32.0,38.0,356768,2010/03/11,IL,100/300,500,1006.77,6000000,478172,FEMALE,College,other-service,sleeping,own-child,0.0,0,2015/02/06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Northbend,7434 Oak Hwy,15,3,YES,2,1,YES,70900.0,14180.0,7090.0,49630,BMW,X6,1997,N,0,1,0,0,0,70900.0,0.0,0,11.16903981679311,9.559658319461349,8.866581653303996,10.81237091748186,300000.0,0.0033558999999999998,0.0016666666666666668,0.0033564593166666664
259.0,39.0,330506,1995/09/19,OH,250/500,1000,1422.36,0,604668,FEMALE,JD,craft-repair,movies,unmarried,0.0,83900,2015/01/24,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,5178 Weaver Hwy,12,3,NO,1,3,?,46560.0,7760.0,7760.0,31040,Nissan,Ultima,2012,N,0,0,0,0,0,46560.0,0.0,0,10.748518559837908,8.95686647085414,8.95686647085414,10.34306419027306,500000.0,0.00284472,0.002,0.0028452889439999998
186.0,33.0,779075,2010/02/27,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600.0,37600,2015/01/14,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,NO,2,1,?,4730.0,860.0,860.0,3010,Chevrolet,Malibu,2013,Y,0,0,0,0,0,4730.0,0.0,0,8.461891875631148,6.7580945044277305,6.7580945044277305,8.010027528481734,300000.0,0.0044944,0.0033333333333333335,0.004495898133333333
201.0,40.0,799501,1991/12/28,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0.0,0,2015/02/18,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,6820.0,1240.0,1240.0,4340,Jeep,Grand Cherokee,2003,N,0,0,0,0,0,6820.0,0.0,0,8.82776136765472,7.123672785204607,7.123672785204607,8.375860015299594,500000.0,0.00263112,0.004,0.002632172448
436.0,58.0,987905,2002/04/30,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400.0,27600,2015/01/10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,?,0,2,?,59900.0,11980.0,5990.0,41930,BMW,X5,1997,Y,0,1,0,0,0,59900.0,0.0,0,11.000448478455008,9.3910773406399,8.698013622083925,10.643780689153015,500000.0,0.00281402,0.004,0.002815145608
189.0,36.0,967756,2007/04/28,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0.0,49400,2015/02/13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,?,1,3,YES,79560.0,13260.0,13260.0,53040,Ford,Escape,2009,N,0,0,0,0,0,79560.0,0.0,0,11.284279302019131,9.4925826756776,9.4925826756776,10.87882047837734,500000.0,0.00277716,0.004,0.002778270864
105.0,33.0,830414,1996/07/08,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0.0,40900,2015/02/17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,?,70290.0,12780.0,6390.0,51120,Accura,MDX,2008,N,0,0,0,0,0,70290.0,0.0,0,11.160399046843542,9.455714972131714,8.762646029650282,10.841950650675424,1000000.0,0.00131076,0.0005,0.001310825538
163.0,31.0,127313,2002/04/01,IN,100/300,1000,1004.63,6000000,460359,MALE,JD,priv-house-serv,hiking,not-in-family,26900.0,0,2015/01/07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,63910.0,5810.0,11620.0,46480,Suburu,Forrestor,1999,N,0,1,0,0,0,63910.0,0.0,0,11.065246769525514,8.667507952075105,9.360569085222874,10.746798905924305,300000.0,0.0033487666666666667,0.0033333333333333335,0.003349882922222222
219.0,40.0,786957,2006/10/29,OH,100/300,500,1134.91,0,452735,FEMALE,Associate,transport-moving,golf,not-in-family,68700.0,0,2015/01/29,Vehicle Theft,?,Trivial Damage,,SC,Riverwood,5901 Elm Drive,6,1,?,1,0,NO,6400.0,640.0,640.0,5120,Toyota,Camry,1997,N,0,0,0,0,0,6400.0,0.0,0,8.764209507142004,6.46302945692067,6.46302945692067,8.54110501146255,300000.0,0.0037830333333333335,0.0016666666666666668,0.003783663838888889
88.0,25.0,332892,2007/10/25,IN,250/500,1000,1194.0,0,613583,FEMALE,JD,handlers-cleaners,movies,husband,0.0,0,2015/02/13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,66780.0,7420.0,7420.0,51940,Ford,Escape,2013,Y,0,0,0,0,0,66780.0,0.0,0,11.109173887928804,8.912069097970134,8.912069097970134,10.857863738015617,500000.0,0.002388,0.002,0.0023884775999999997
40.0,39.0,448642,2001/03/28,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,sales,hiking,own-child,0.0,33300,2015/02/01,Parked Car,?,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,NO,0,2,?,8760.0,1460.0,1460.0,5840,BMW,3 Series,2013,N,0,1,0,0,0,8760.0,0.0,0,9.078065332666364,7.2868764117507,7.2868764117507,8.67265729404031,1000000.0,0.00124825,0.001,0.001248374825
284.0,42.0,526039,1995/05/04,OH,100/300,500,1338.54,-1000000,438178,MALE,Associate,machine-op-inspct,kayaking,wife,0.0,0,2015/01/29,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,NC,Arlington,3936 Tree Drive,13,1,YES,0,1,?,94160.0,8560.0,17120.0,68480,Chevrolet,Malibu,1996,N,0,0,0,0,0,94160.0,0.0,0,11.452761362098665,9.054972284742483,9.748061059204815,11.13431161351274,300000.0,0.0044618,0.0016666666666666668,0.004462543633333333
59.0,40.0,444422,2011/09/28,IL,250/500,2000,782.23,0,449221,MALE,College,protective-serv,golf,other-relative,64200.0,32300,2015/02/06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,?,0,2,NO,51570.0,5730.0,11460.0,34380,BMW,X5,2010,N,0,0,0,0,0,51570.0,0.0,0,10.850714777975869,8.653645314551737,9.3467052464967,10.445259365192133,500000.0,0.00156446,0.004,0.0015650857839999998
39.0,31.0,689500,2003/01/28,IL,250/500,2000,1366.9,0,459322,FEMALE,High School,handlers-cleaners,polo,husband,0.0,15700,2015/01/28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,?,1,0,NO,52700.0,10540.0,10540.0,31620,BMW,X6,2014,Y,0,0,0,0,0,52700.0,0.0,0,10.872389709681492,9.26302769425519,9.26302769425519,10.361576735816833,500000.0,0.0027338,0.004,0.00273489352
147.0,34.0,806081,2011/02/01,IL,500/1000,1000,1275.81,0,472657,MALE,High School,sales,dancing,wife,0.0,48300,2015/01/21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,YES,2,2,?,101010.0,15540.0,15540.0,69930,Mercedes,ML350,1998,N,0,0,0,0,0,101010.0,0.0,0,11.522984700784123,9.651236971915612,9.651236971915612,11.155264320609968,1000000.0,0.00127581,0.001,0.001275937581
156.0,37.0,384618,1993/02/09,IN,250/500,500,1090.65,0,608331,MALE,High School,exec-managerial,golf,unmarried,0.0,51800,2015/01/16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,?,1,2,YES,53400.0,5340.0,5340.0,42720,Honda,Civic,2010,Y,0,0,0,0,0,53400.0,0.0,0,10.885584751364703,8.58316818033977,8.58316818033977,10.662445881599808,500000.0,0.0021813,0.001,0.0021815181300000003
123.0,31.0,756459,2005/08/05,IN,250/500,500,1326.0,0,438546,FEMALE,Associate,prof-specialty,basketball,wife,0.0,54600,2015/02/17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,?,1,2,NO,72120.0,12020.0,12020.0,48080,Mercedes,ML350,2009,N,0,0,0,0,0,72120.0,0.0,0,11.186100543000382,9.394410399304254,9.394410399304254,10.780642367661684,500000.0,0.002652,0.001,0.0026522651999999996
231.0,43.0,655787,2006/06/17,IL,250/500,2000,972.47,0,441981,MALE,College,protective-serv,reading,wife,0.0,58100,2015/02/01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,YES,2,2,YES,77100.0,7710.0,15420.0,53970,Audi,A3,2010,N,0,0,0,0,0,77100.0,0.0,0,11.252871529635922,8.95040315983296,9.643485495857655,10.896202144253335,500000.0,0.00194494,0.004,0.001945717976
